날짜,가임암소수,도축 비육우 수,암송아지가격,숫송아지가격,평균 도체 중량,출생두수,소비자 심리지수,사육비,물가 총지수,물가 농축수산물지수,생산량,한우 평균 도매 가격,한우 1등급 소비자 가격
20200104,664495,83001,2841.0,3396.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,21906.0,101847.0
20200105,664495,83001,2840.0,3394.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,21450.0,101347.0
20200106,664495,83001,2860.666666666667,3422.666666666667,426.3399183,58970,104.8,9328877,105.79,115.23,249,21327.0,102159.0
20200107,664495,83001,2881.333333333333,3451.3333333333335,426.3399183,58970,104.8,9328877,105.79,115.23,249,21280.0,101397.0
20200108,664495,83001,2902.0,3480.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,21130.0,100778.0
20200111,664495,83001,2915.0,3477.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,19722.0,101294.0
20200112,664495,83001,2925.0,3483.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,21514.0,100870.0
20200113,664495,83001,2932.666666666667,3508.0000000000005,426.3399183,58970,104.8,9328877,105.79,115.23,249,21648.0,101210.0
20200114,664495,83001,2940.3333333333335,3533.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,21364.0,102550.0
20200115,664495,83001,2948.0,3558.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,20642.0,102274.0
20200118,664495,83001,2950.0,3576.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,19817.0,103266.0
20200119,664495,83001,2958.0,3585.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,21141.0,103266.0
20200120,664495,83001,2964.0,3572.666666666667,426.3399183,58970,104.8,9328877,105.79,115.23,249,21026.0,103266.0
20200121,664495,83001,2970.0,3560.333333333333,426.3399183,58970,104.8,9328877,105.79,115.23,249,20562.0,101816.0
20200122,664495,83001,2976.0,3548.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,19648.0,100154.0
20200125,664495,83001,2962.0,3532.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,19169.0,100976.0
20200126,664495,83001,2953.0,3545.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,19656.0,100011.0
20200127,664495,83001,2958.666666666667,3531.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,19223.0,100115.0
20200128,664495,83001,2964.3333333333335,3517.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,18905.0,99076.0
20200129,664495,83001,2970.0,3503.0,426.3399183,58970,104.8,9328877,105.79,115.23,249,17766.0,99076.0
20200201,664495,45871,2977.0,3519.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,17549.0,99140.0
20200202,664495,45871,2966.0,3501.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,20160.0,100226.0
20200203,664495,45871,2956.3333333333335,3507.0000000000005,425.2189669,76552,97.8,9328877,105.8,114.01,249,19752.0,100781.0
20200204,664495,45871,2946.666666666667,3513.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,20333.0,101448.0
20200205,664495,45871,2937.0,3519.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,21071.0,101448.0
20200208,664495,45871,2878.0,3503.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,22418.0,100604.0
20200209,664495,45871,2891.0,3496.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,20297.0,99028.0
20200210,664495,45871,2911.0000000000005,3499.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,15910.0,99642.0
20200215,664495,45871,2931.0,3502.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,15910.0,98381.0
20200216,664495,45871,2951.0,3505.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,20561.0,99987.0
20200217,664495,45871,2971.0,3508.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,20597.0,100519.0
20200218,664495,45871,2991.0,3511.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,21150.0,99705.0
20200219,664495,45871,3011.0,3514.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,19836.0,101378.0
20200222,664495,45871,2918.0,3506.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,13795.0,100814.0
20200223,664495,45871,2914.0,3482.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,20431.0,101723.0
20200224,664495,45871,2953.0,3518.666666666667,425.2189669,76552,97.8,9328877,105.8,114.01,249,20439.0,101723.0
20200225,664495,45871,2992.0,3555.333333333333,425.2189669,76552,97.8,9328877,105.8,114.01,249,20338.0,102746.0
20200226,664495,45871,3031.0,3592.0,425.2189669,76552,97.8,9328877,105.8,114.01,249,19730.0,100413.0
20200301,664495,54790,3035.5,3599.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,17299.0,100413.0
20200302,664495,54790,3040.0,3606.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20286.0,102004.0
20200303,664495,54790,3059.0,3631.666666666667,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20684.0,101356.0
20200304,664495,54790,3078.0,3657.333333333333,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,21145.0,101619.0
20200305,664495,54790,3097.0,3683.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,21542.0,102070.0
20200308,664495,54790,3120.0,3734.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,16095.0,102070.0
20200309,664495,54790,3087.0,3737.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,21196.0,101316.0
20200310,664495,54790,3084.333333333334,3775.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,21026.0,101676.0
20200311,664495,54790,3081.666666666667,3813.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20262.0,101250.0
20200312,664495,54790,3079.0,3851.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20359.0,101663.0
20200315,664495,54790,3130.0,3858.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,17130.0,101663.0
20200316,664495,54790,3129.0,3859.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20227.0,102104.0
20200317,664495,54790,3131.0000000000005,3850.3333333333335,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20203.0,102134.0
20200318,664495,54790,3133.0,3841.6666666666665,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,19725.0,101461.0
20200319,664495,54790,3135.0,3833.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,19255.0,101590.0
20200322,664495,54790,3094.0,3795.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,15243.0,103084.0
20200323,664495,54790,3090.0,3762.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,19607.0,102223.0
20200324,664495,54790,3132.666666666667,3761.0000000000005,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,19844.0,100472.0
20200325,664495,54790,3175.333333333333,3760.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20214.0,100604.0
20200326,664495,54790,3218.0,3759.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20241.0,100604.0
20200329,664495,54790,3195.0,3740.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,16455.0,100900.0
20200330,664495,54790,3195.0,3740.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20556.0,100363.0
20200331,664495,54790,3195.0000000000005,3740.0,422.43057180000005,123651,80.4,9328877,105.54,114.92,249,20838.0,100363.0
20200401,755267,58605,3195.0,3740.0,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,21448.0,98446.0
20200402,755267,58605,3195.0,3740.0,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,21695.0,98479.0
20200405,755267,58605,3236.0,3795.0,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,17152.0,99291.0
20200406,755267,58605,3127.0,3769.0,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,21074.0,98820.0
20200407,755267,58605,3136.714285714286,3778.714285714286,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20918.0,100072.0
20200408,755267,58605,3146.4285714285716,3788.4285714285716,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,21075.0,98424.0
20200409,755267,58605,3156.1428571428573,3798.142857142857,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20633.0,97424.0
20200412,755267,58605,3165.8571428571427,3807.857142857143,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,14458.0,98424.0
20200413,755267,58605,3175.5714285714284,3817.5714285714284,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20941.0,97154.0
20200414,755267,58605,3185.2857142857138,3827.285714285714,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20864.0,96508.0
20200415,755267,58605,3195.0,3837.0,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,21072.0,99393.0
20200416,755267,58605,3204.714285714286,3846.7142857142853,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20417.0,103052.0
20200419,755267,58605,3214.4285714285716,3856.4285714285716,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,16879.0,103090.0
20200420,755267,58605,3224.142857142857,3866.142857142857,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20786.0,103653.0
20200421,755267,58605,3233.857142857143,3875.857142857143,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20876.0,101483.0
20200422,755267,58605,3243.5714285714284,3885.5714285714284,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20840.0,99416.0
20200423,755267,58605,3253.285714285714,3895.2857142857147,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,19830.0,99496.0
20200426,755267,58605,3263.0,3905.0,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,15521.0,100116.0
20200427,755267,58605,3252.0,3909.0,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20809.0,102063.0
20200428,755267,58605,3250.666666666667,3918.0000000000005,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20832.0,99704.0
20200429,755267,58605,3249.333333333333,3927.0,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,20799.0,102890.0
20200430,755267,58605,3248.0,3936.0,421.88671739999995,138227,73.3,9328877,104.95,115.01,249,21452.0,103213.0
20200503,755267,56842,3255.0,3966.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,15633.0,103350.0
20200504,755267,56842,3255.0,3966.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,21141.0,103350.0
20200505,755267,56842,3259.5,3987.5,419.3089733,123570,79.7,9328877,104.71,115.02,249,19072.0,103350.0
20200506,755267,56842,3264.0,4009.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,21097.0,101766.0
20200507,755267,56842,3268.5,4030.5,419.3089733,123570,79.7,9328877,104.71,115.02,249,21080.0,98204.0
20200510,755267,56842,3273.0,4052.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,15705.0,99628.0
20200511,755267,56842,3266.0,4061.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,21312.0,99572.0
20200512,755267,56842,3266.666666666667,4048.666666666667,419.3089733,123570,79.7,9328877,104.71,115.02,249,21816.0,98814.0
20200513,755267,56842,3267.333333333333,4036.333333333333,419.3089733,123570,79.7,9328877,104.71,115.02,249,21407.0,101704.0
20200514,755267,56842,3268.0,4024.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,21149.0,102711.0
20200517,755267,56842,3242.0,4027.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,17849.0,101658.0
20200518,755267,56842,3246.0,4041.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,21303.0,100964.0
20200519,755267,56842,3246.0000000000005,4041.0000000000005,419.3089733,123570,79.7,9328877,104.71,115.02,249,19279.0,100964.0
20200520,755267,56842,3246.0,4041.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,21515.0,98550.0
20200521,755267,56842,3246.0,4041.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,21517.0,98550.0
20200524,755267,56842,3211.0,4055.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,12967.0,99848.0
20200525,755267,56842,3227.0,4121.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,21464.0,101204.0
20200526,755267,56842,3228.0,4110.666666666667,419.3089733,123570,79.7,9328877,104.71,115.02,249,21216.0,102171.0
20200527,755267,56842,3229.0,4100.333333333333,419.3089733,123570,79.7,9328877,104.71,115.02,249,21276.0,99613.0
20200528,755267,56842,3230.0,4090.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,19941.0,101288.0
20200531,755267,56842,3227.0,4105.0,419.3089733,123570,79.7,9328877,104.71,115.02,249,13674.0,102462.0
20200601,755267,62768,3224.0,4120.0,417.3846137,100025,83.7,9328877,104.87,114.37,249,21716.0,102462.0
20200602,755267,62768,3232.3333333333335,4128.0,417.3846137,100025,83.7,9328877,104.87,114.37,249,21722.0,100807.0
20200603,755267,62768,3240.666666666667,4136.0,417.3846137,100025,83.7,9328877,104.87,114.37,249,22589.0,103129.0
20200604,755267,62768,3249.0,4144.0,417.3846137,100025,83.7,9328877,104.87,114.37,249,21457.0,103129.0
20200607,755267,62768,3304.0,4160.0,417.3846137,100025,83.7,9328877,104.87,114.37,249,16352.0,103774.0
20200608,755267,62768,3292.0,4158.0,417.3846137,100025,83.7,9328877,104.87,114.37,249,21965.0,103774.0
20200609,755267,62768,3282.3333333333335,4161.333333333334,417.3846137,100025,83.7,9328877,104.87,114.37,249,21836.0,103834.0
20200610,755267,62768,3272.6666666666665,4164.666666666667,417.3846137,100025,83.7,9328877,104.87,114.37,249,21951.0,101493.0
20200611,755267,62768,3263.0,4168.0,417.3846137,100025,83.7,9328877,104.87,114.37,249,21101.0,100445.0
20200614,755267,62768,3263.0,4140.0,417.3846137,100025,83.7,9328877,104.87,114.37,249,19900.0,103170.0
20200615,755267,62768,3258.0,4146.0,417.3846137,100025,83.7,9328877,104.87,114.37,249,21653.0,102664.0
20200616,755267,62768,3252.666666666667,4136.666666666667,417.3846137,100025,83.7,9328877,104.87,114.37,249,21603.0,100031.0
